#tbegin	tend	dotM	b_dotM	B_dotM
2452443.31221716	2452443.32503197	 8.22091	 7.96334	 8.46281
2452443.38269864	2452443.39038753	 8.50698	 8.25369	 8.74948
2452443.74215038	2452443.77558788	 9.39072	 9.15841	 9.62162
2452444.93043197	2452444.96674308	13.49550	13.03830	13.86630
2452444.99967642	2452445.03767642	13.38320	12.95810	13.81520
2452446.57892665	2452446.62532063	14.19090	13.76550	14.61950
2452446.05769123	2452446.09720234	12.73740	12.48070	13.19420
2452446.12730605	2452446.16399494	14.16930	13.73480	14.61020
2452447.50354632	2452447.54861716	13.86390	13.27390	14.31580
2452448.56019957	2452448.59516669	12.96130	12.60790	13.48130
2452449.61625535	2452449.63807989	12.19780	11.89900	12.53640
2452450.74221716	2452450.76166160	10.85800	10.58000	11.14880
2452452.05925246	2452452.07783058	 9.74485	 9.51312	10.02390
2452453.99129123	2452454.00711345	 9.11628	 8.72122	 9.48399
2452453.17961924	2452453.20693035	10.75130	10.49430	10.97930
2452454.03678012	2452454.07699494	 9.10794	 8.74294	 9.37311
2452455.09439575	2452455.11454470	 8.27927	 7.96045	 8.58681
2452455.62869864	2452455.63610605	 8.26941	 8.02596	 8.51091
2452456.67518012	2452456.69166160	 7.68474	 7.34643	 7.85805
2452456.60906901	2452456.61925419	 7.51068	 7.07511	 7.84824
2452457.22869864	2452457.24167642	 7.37298	 7.09482	 7.55945
2452458.32353301	2452458.34380281	 6.62928	 6.59448	 6.67724
2452458.92851345	2452458.95046947	 6.31465	 6.26342	 6.35988
2452459.57647642	2452459.57832827	 5.74209	 5.69581	 5.80052
2452460.98425419	2452460.99795790	 5.02561	 4.99543	 5.07243
2452461.90647642	2452461.91647642	 4.63380	 4.58407	 4.66214
2452463.02925419	2452463.04317885	 4.44655	 4.41492	 4.47037
2452464.12962457	2452464.16436797	 4.08935	 4.06777	 4.11724
2452464.92499494	2452464.95509887	 3.94786	 3.79011	 4.11330
2452465.57647642	2452465.59036531	 3.60545	 3.51198	 3.71870
2452466.82901345	2452466.86018012	 3.30455	 3.13151	 3.43660
2452467.68629123	2452467.70814308	 3.10770	 2.96320	 3.20665
2452469.13758753	2452469.17449899	 2.76874	 2.66719	 2.86683
2452469.22892410	2452469.24067827	 2.57278	 2.45110	 2.67811
2452469.73499494	2452469.75536531	 2.54678	 2.47681	 2.61627
2452469.79608244	2452469.83122179	 2.30039	 2.21951	 2.37680
2452470.78465443	2452470.82307665	 2.24491	 2.14673	 2.32562
2452470.72851345	2452470.74443938	 2.25791	 2.16465	 2.33548
2452471.47758753	2452471.48425419	 1.94960	 1.86084	 2.03621
2452471.51018012	2452471.52221716	 1.95825	 1.80162	 2.05689
2452473.11353544	2452473.13034042	 1.68260	 1.58637	 1.75187
2452473.18280315	2452473.19622781	 1.66346	 1.57287	 1.75260
2452473.75221716	2452473.78538845	 1.60937	 1.51309	 1.67481
2452473.68577017	2452473.70560836	 1.67452	 1.61488	 1.76082
2452474.67499494	2452474.68758753	 1.55182	 1.45673	 1.66441
2452475.43758753	2452475.43814308	 1.62171	 1.24837	 2.00487
2452476.52055049	2452476.52758753	 1.65023	 1.50746	 1.85109
2452476.58632757	2452476.60625651	 1.87848	 1.80920	 2.07798
2452476.65184679	2452476.69124494	 1.49712	 1.36762	 1.66430
2452477.77262781	2452477.81163938	 1.25026	 1.05484	 1.40454
2452477.71740234	2452477.73332827	 0.92261	 0.74358	 1.18451

